Rank,Model,Family,Threshold,AUC,PR AUC,F1,Accuracy,Balanced Accuracy,Sensitivity,Specificity,Precision,Correctly Predicted,Total Samples,Correct Normal,Correct Brugada,False Positives,False Negatives,True Positives,True Negatives,Prediction CSV,Validation F1,Feature Set,Epochs Trained,Model Artifact,Pretrain Epochs
1,Transfer Learning (In-domain DAE to Classifier),Transfer Learning / Advanced,0.3542519211769104,0.7672413793103449,0.676478182054691,0.6923076923076923,0.8888888888888888,0.7955665024630543,0.6428571428571429,0.9482758620689655,0.75,64,72,55,9,3,5,9,55,/IDSC2026/outputs/predict/Transfer Learning (In domain DAE to Classifier) Predictions.csv,0.6666666666666666,ECG-only primary benchmark,66.0,/IDSC2026/outputs/predict/models/Transfer Learning (In domain DAE to Classifier).keras,90.0
2,Transformer Encoder Median Beat,Deep Learning End-to-End,0.9531359672546387,0.7536945812807883,0.558545806045806,0.5,0.7777777777777778,0.6995073891625616,0.5714285714285714,0.8275862068965517,0.4444444444444444,56,72,48,8,10,6,8,48,/IDSC2026/outputs/predict/Transformer Encoder Median Beat Predictions.csv,0.6428571428571428,ECG-only primary benchmark,38.0,/IDSC2026/outputs/predict/models/Transformer Encoder Median Beat.keras,
3,1D CNN Median Beat,Deep Learning End-to-End,0.4813019633293152,0.7376847290640394,0.5456835575139146,0.5,0.8333333333333334,0.6798029556650246,0.42857142857142855,0.9310344827586207,0.6,60,72,54,6,4,8,6,54,/IDSC2026/outputs/predict/1D CNN Median Beat Predictions.csv,0.6956521739130435,ECG-only primary benchmark,47.0,/IDSC2026/outputs/predict/models/1D CNN Median Beat.keras,
4,Echo State Network (ESN),Transfer Learning / Advanced,0.07948054160677129,0.7770935960591133,0.5309569907221077,0.47058823529411764,0.75,0.6822660098522167,0.5714285714285714,0.7931034482758621,0.4,54,72,46,8,12,6,8,46,/IDSC2026/outputs/predict/Echo State Network (ESN) Predictions.csv,0.6060606060606061,ECG-only primary benchmark,1.0,,
5,VICReg (Self-supervised),Transfer Learning / Advanced,0.28783655166625977,0.7241379310344828,0.47632395410312917,0.5925925925925926,0.8472222222222222,0.7426108374384237,0.5714285714285714,0.9137931034482759,0.6153846153846154,61,72,53,8,5,6,8,53,/IDSC2026/outputs/predict/VICReg (Self supervised) Predictions.csv,0.5,ECG-only primary benchmark,50.0,/IDSC2026/outputs/predict/models/VICReg (Self supervised).keras,51.0
6,XGBoost Features,Feature-Based,0.2486213594675064,0.7943349753694581,0.46564507262688226,0.5517241379310345,0.8194444444444444,0.7253694581280787,0.5714285714285714,0.8793103448275862,0.5333333333333333,59,72,51,8,7,6,8,51,/IDSC2026/outputs/predict/XGBoost Features Predictions.csv,0.6956521739130435,ECG-only primary benchmark,,,
7,Random Forest Features,Feature-Based,0.3488144343120033,0.7179802955665026,0.4564715571543303,0.45454545454545453,0.8333333333333334,0.6527093596059114,0.35714285714285715,0.9482758620689655,0.625,60,72,55,5,3,9,5,55,/IDSC2026/outputs/predict/Random Forest Features Predictions.csv,0.7000000000000001,ECG-only primary benchmark,,,
8,AdaBoost,Feature-Based,0.5759277378451098,0.6551724137931035,0.4282388762591749,0.21052631578947367,0.7916666666666666,0.5455665024630542,0.14285714285714285,0.9482758620689655,0.4,57,72,55,2,3,12,2,55,/IDSC2026/outputs/predict/AdaBoost Predictions.csv,0.7058823529411764,ECG-only primary benchmark,,,
9,SVM RBF Features,Feature-Based,0.3511588093226129,0.7352216748768472,0.37152030552102766,0.25,0.75,0.5467980295566502,0.21428571428571427,0.8793103448275862,0.3,54,72,51,3,7,11,3,51,/IDSC2026/outputs/predict/SVM RBF Features Predictions.csv,0.7500000000000001,ECG-only primary benchmark,,,
10,CNN + BiGRU Median Beat,Deep Learning End-to-End,0.8096908926963806,0.6785714285714286,0.3701360392759414,0.5,0.8055555555555556,0.6896551724137931,0.5,0.8793103448275862,0.5,58,72,51,7,7,7,7,51,/IDSC2026/outputs/predict/CNN + BiGRU Median Beat Predictions.csv,0.6153846153846153,ECG-only primary benchmark,31.0,/IDSC2026/outputs/predict/models/CNN + BiGRU Median Beat.keras,
11,ResNet 1D Median Beat,Deep Learning End-to-End,0.8073234558105469,0.7019704433497537,0.3591701363888528,0.4,0.7916666666666666,0.6268472906403941,0.35714285714285715,0.896551724137931,0.45454545454545453,57,72,52,5,6,9,5,52,/IDSC2026/outputs/predict/ResNet 1D Median Beat Predictions.csv,0.7272727272727273,ECG-only primary benchmark,33.0,/IDSC2026/outputs/predict/models/ResNet 1D Median Beat.keras,
