Threshold,AUC,PR AUC,F1,Accuracy,Balanced Accuracy,Sensitivity,Specificity,Precision,Correctly Predicted,Total Samples,Correct Normal,Correct Brugada,False Positives,False Negatives,True Positives,True Negatives
0.05,0.7672413793103449,0.676478182054691,0.5294117647058824,0.7777777777777778,0.7266009852216748,0.6428571428571429,0.8103448275862069,0.45,56,72,47,9,11,5,9,47
0.1,0.7672413793103449,0.676478182054691,0.6,0.8333333333333334,0.7610837438423645,0.6428571428571429,0.8793103448275862,0.5625,60,72,51,9,7,5,9,51
0.15,0.7672413793103449,0.676478182054691,0.6206896551724138,0.8472222222222222,0.7697044334975369,0.6428571428571429,0.896551724137931,0.6,61,72,52,9,6,5,9,52
0.2,0.7672413793103449,0.676478182054691,0.6428571428571429,0.8611111111111112,0.7783251231527094,0.6428571428571429,0.9137931034482759,0.6428571428571429,62,72,53,9,5,5,9,53
0.25,0.7672413793103449,0.676478182054691,0.6923076923076923,0.8888888888888888,0.7955665024630543,0.6428571428571429,0.9482758620689655,0.75,64,72,55,9,3,5,9,55
0.3,0.7672413793103449,0.676478182054691,0.6923076923076923,0.8888888888888888,0.7955665024630543,0.6428571428571429,0.9482758620689655,0.75,64,72,55,9,3,5,9,55
0.35,0.7672413793103449,0.676478182054691,0.6923076923076923,0.8888888888888888,0.7955665024630543,0.6428571428571429,0.9482758620689655,0.75,64,72,55,9,3,5,9,55
0.39999999999999997,0.7672413793103449,0.676478182054691,0.72,0.9027777777777778,0.8041871921182266,0.6428571428571429,0.9655172413793104,0.8181818181818182,65,72,56,9,2,5,9,56
0.44999999999999996,0.7672413793103449,0.676478182054691,0.6666666666666666,0.8888888888888888,0.7684729064039408,0.5714285714285714,0.9655172413793104,0.8,64,72,56,8,2,6,8,56
0.49999999999999994,0.7672413793103449,0.676478182054691,0.6086956521739131,0.875,0.7327586206896552,0.5,0.9655172413793104,0.7777777777777778,63,72,56,7,2,7,7,56
0.5499999999999999,0.7672413793103449,0.676478182054691,0.6086956521739131,0.875,0.7327586206896552,0.5,0.9655172413793104,0.7777777777777778,63,72,56,7,2,7,7,56
0.6,0.7672413793103449,0.676478182054691,0.6086956521739131,0.875,0.7327586206896552,0.5,0.9655172413793104,0.7777777777777778,63,72,56,7,2,7,7,56
0.65,0.7672413793103449,0.676478182054691,0.6086956521739131,0.875,0.7327586206896552,0.5,0.9655172413793104,0.7777777777777778,63,72,56,7,2,7,7,56
0.7,0.7672413793103449,0.676478182054691,0.5714285714285714,0.875,0.7056650246305418,0.42857142857142855,0.9827586206896551,0.8571428571428571,63,72,57,6,1,8,6,57
0.75,0.7672413793103449,0.676478182054691,0.5714285714285714,0.875,0.7056650246305418,0.42857142857142855,0.9827586206896551,0.8571428571428571,63,72,57,6,1,8,6,57
0.7999999999999999,0.7672413793103449,0.676478182054691,0.5,0.8611111111111112,0.6699507389162561,0.35714285714285715,0.9827586206896551,0.8333333333333334,62,72,57,5,1,9,5,57
0.85,0.7672413793103449,0.676478182054691,0.42105263157894735,0.8472222222222222,0.6342364532019704,0.2857142857142857,0.9827586206896551,0.8,61,72,57,4,1,10,4,57
0.9,0.7672413793103449,0.676478182054691,0.4444444444444444,0.8611111111111112,0.6428571428571428,0.2857142857142857,1.0,1.0,62,72,58,4,0,10,4,58
0.95,0.7672413793103449,0.676478182054691,0.35294117647058826,0.8472222222222222,0.6071428571428571,0.21428571428571427,1.0,1.0,61,72,58,3,0,11,3,58
