Model,Class,Actual Count,Predicted Count,Correctly Predicted,Recall per Class,Precision on Predicted Class
XGBoost Features,Normal (0),58,57,51,0.8793103448275862,0.8947368421052632
XGBoost Features,Brugada (1),14,15,8,0.5714285714285714,0.5333333333333333
XGBoost Features,TOTAL,72,72,59,0.8194444444444444,
Random Forest Features,Normal (0),58,64,55,0.9482758620689655,0.859375
Random Forest Features,Brugada (1),14,8,5,0.35714285714285715,0.625
Random Forest Features,TOTAL,72,72,60,0.8333333333333334,
SVM RBF Features,Normal (0),58,62,51,0.8793103448275862,0.8225806451612904
SVM RBF Features,Brugada (1),14,10,3,0.21428571428571427,0.3
SVM RBF Features,TOTAL,72,72,54,0.75,
AdaBoost,Normal (0),58,67,55,0.9482758620689655,0.8208955223880597
AdaBoost,Brugada (1),14,5,2,0.14285714285714285,0.4
AdaBoost,TOTAL,72,72,57,0.7916666666666666,
1D CNN Median Beat,Normal (0),58,62,54,0.9310344827586207,0.8709677419354839
1D CNN Median Beat,Brugada (1),14,10,6,0.42857142857142855,0.6
1D CNN Median Beat,TOTAL,72,72,60,0.8333333333333334,
ResNet 1D Median Beat,Normal (0),58,61,52,0.896551724137931,0.8524590163934426
ResNet 1D Median Beat,Brugada (1),14,11,5,0.35714285714285715,0.45454545454545453
ResNet 1D Median Beat,TOTAL,72,72,57,0.7916666666666666,
CNN + BiGRU Median Beat,Normal (0),58,58,51,0.8793103448275862,0.8793103448275862
CNN + BiGRU Median Beat,Brugada (1),14,14,7,0.5,0.5
CNN + BiGRU Median Beat,TOTAL,72,72,58,0.8055555555555556,
Transformer Encoder Median Beat,Normal (0),58,54,48,0.8275862068965517,0.8888888888888888
Transformer Encoder Median Beat,Brugada (1),14,18,8,0.5714285714285714,0.4444444444444444
Transformer Encoder Median Beat,TOTAL,72,72,56,0.7777777777777778,
Transfer Learning (In-domain DAE to Classifier),Normal (0),58,60,55,0.9482758620689655,0.9166666666666666
Transfer Learning (In-domain DAE to Classifier),Brugada (1),14,12,9,0.6428571428571429,0.75
Transfer Learning (In-domain DAE to Classifier),TOTAL,72,72,64,0.8888888888888888,
VICReg (Self-supervised),Normal (0),58,59,53,0.9137931034482759,0.8983050847457628
VICReg (Self-supervised),Brugada (1),14,13,8,0.5714285714285714,0.6153846153846154
VICReg (Self-supervised),TOTAL,72,72,61,0.8472222222222222,
Echo State Network (ESN),Normal (0),58,52,46,0.7931034482758621,0.8846153846153846
Echo State Network (ESN),Brugada (1),14,20,8,0.5714285714285714,0.4
Echo State Network (ESN),TOTAL,72,72,54,0.75,
